Commander Power Up,4945,4946,NONE,NONE
Sandora (SELES) Dagger Throw,4947,4948,NONE,NONE
Sandora (SELES) Normal Attack,4949,4950,NONE,NONE
Sandora Elite (Hoax) - Throwing Knife,4951,4952,NONE,NONE
Sandora Elite (Hoax) - Green Flame Attack,4953,4954,NONE,NONE
Sandora Elite (Hoax) - Get 3 Copies,4955,4956,NONE,NONE
Fruegel 1 Smash Attack (Hands Change) ||| Rock Throw,4961,4962,NONE,NONE
Fruegel Smash Attack (Hands Change) ||| Rock Throw,4963,4964,NONE,NONE
Fruegel Karate Chop,4965,4966,NONE,NONE
Rodriguez Attack,4967,4968,NONE,NONE
Rodriguez Feather Attack,4969,4970,NONE,NONE
Guftas Melee Attack,4971,4972,NONE,NONE
Guftas Howl Attack,4973,4974,NONE,NONE
Kongol 1 Hit (Particle),4975,4976,NONE,NONE
Kongol 1 Simple Punch,4977,4978,NONE,NONE
Kongol 1 Double Party Hit,4979,4980,NONE,NONE
Kongol 2 Hit (Particle),4981,4982,NONE,NONE
Kongol 2 Wall Crush Attack,4983,4984,NONE,NONE
Kongol 2 Wall Crush Attack - Flying Stone,4985,4986,NONE,NONE
Normal Doel Transform into Dragoon,4987,4988,NONE,NONE
Normal Doel Double Flying Sword,4989,4990,NONE,NONE
Dragoon Doel Single Ray/Sword Attack,4991,4992,NONE,NONE
Dragoon Doel All Team Sword Attack,4993,4994,NONE,NONE
Dragoon Doel Summon Perfect Shield,4995,4996,NONE,NONE
Lloyd Lohan Attack // Special Attack,4997,4998,NONE,NONE
Armored Lloyd Special Attack // Normal Attack,4999,5000,NONE,NONE
Armored Lloyd - Insta-Oof Dragoon,5001,5002,NONE,NONE
Armored Lloyd - Vegeta Anger Attack,5003,5004,NONE,NONE
Armored Lloyd Special Dome Attack,5005,5006,NONE,NONE
Feybrand Normal Attack,5019,5020,NONE,NONE
Feybrand Poison Attack,5021,5022,NONE,NONE
Feybrand Power Up,5023,5024,NONE,NONE
Regole Normal Attack,5031,5032,NONE,NONE
Regole Destroying Eyes,5033,5034,NONE,NONE
Regole Tsunami Attack,5035,5036,NONE,NONE
Divine Dragon Normal Attack,5043,5044,NONE,NONE
Divine Dragon Howl,5045,5046,NONE,NONE
Divine Dragon Unknown Attack 1,5047,5048,NONE,NONE
Divine Dragon Unknown Attack 2,5049,5050,NONE,NONE
Divine Dragon Magic Attack,5051,5052,NONE,NONE
Dragon Block Staff,5053,5054,NONE,NONE
Divine Dragon Cannon,5055,5056,NONE,NONE
Divine Dragon Ball,5057,5058,NONE,NONE
Greham Cruxifixion Attack,5061,5062,NONE,NONE
Greham Invoke Magic,5063,5064,NONE,NONE
Shirley Heal Complete,5065,5066,NONE,NONE
Shirley Transforms into... Model for Effect,5067,5068,NONE,NONE
SAF Animations for Shirley Fight,5069,5070,NONE,NONE
Shirley Transforms into...,5071,5072,NONE,NONE
Normal Lenus Single Char Attack,5075,5076,NONE,NONE
Normal Lenus All party Attack,5077,5078,NONE,NONE
Normal Lenus Magic Summon,5079,5080,NONE,NONE
Lenus Dragoon Single Char Powered Attack,5081,5082,NONE,NONE
Lenus Dragoon Single Char Attack,5083,5084,NONE,NONE
Lenus Dragoon Water Cage,5085,5086,NONE,NONE
Lenus Dragoon UnderWater Party Attack,5087,5088,NONE,NONE
Unknown Dragoon - Attack,5089,5090,NONE,NONE
SAF for a 29 Obj Model,5097,5098,NONE,NONE
SAF for a 31 Obj Model,5105,5106,NONE,NONE
SAF for a 25 Obj Model,5113,5114,NONE,NONE
Red kind of claws – Mappi Surely,5121,5122,NONE,NONE
Mappi Insta Kill Attack,5123,5124,NONE,NONE
Gehrich/Mappi Double Attack,5125,5126,NONE,NONE
Gorgaga Poison Needle/ Normal Attack,5127,5128,NONE,NONE
Serfius - Power Up,5129,5130,NONE,NONE
Danton All Out Attack,5131,5132,NONE,NONE
Atlow Attack Normal,5133,5134,NONE,NONE
Atlow 5-Sense-Blocker,5135,5136,NONE,NONE
Lenus Dragoon get out/enter again Battle,5137,5138,NONE,NONE
SAF for a 22 Obj Model,5139,5140,NONE,NONE
Wounded Virage Laser Beam // Special Fear Attack?,5143,5144,NONE,NONE
Lavitz/Zackwell Confusion all party,5145,5146,NONE,NONE
Complete Virage - Beam Attack,5149,5150,NONE,NONE
Complete Virage Sky Beams,5151,5152,NONE,NONE
Complete Virage Fear Attack,5153,5154,NONE,NONE
Complete Virage Grab Attack,5155,5156,NONE,NONE
Scarred Super Virage Tentacle Attack,5165,5166,NONE,NONE
Scarred Super Virage Rock Fell Attack,5167,5168,NONE,NONE
Scarred Super Virage Self-Destruction Surely//Ray Attack,5169,5170,NONE,NONE
Complete Super Virage Tentacle Attack,5177,5178,NONE,NONE
Complete Super Virage Rock Fell Attack,5179,5180,NONE,NONE
Complete Super Virage Ray Attack,5181,5182,NONE,NONE
Complete Super Virage Galaxy Attack,5183,5184,NONE,NONE
Complete Super Virage Self-Destruction,5185,5186,NONE,NONE
Drake The Bandit Throw Knife // Bombs out // Wire Out // Heal Himself,5195,5196,NONE,NONE
Drake The Bandit Bomb Explode,5199,5200,NONE,NONE
Jiango Normal Attack // Falling Rocks Attack,5203,5204,NONE,NONE
Jiango Confusion Breath,5205,5206,NONE,NONE
Urobolus Normal Attack // Spit Attack // Poison Cloud,5215,5216,NONE,NONE
Firebird Lava Explosion // Normal Attack,5217,5218,NONE,NONE
Firebird Immolation Attack,5219,5220,NONE,NONE
Grand Jewel Lvl Up,5223,5224,NONE,NONE
Grand Jewel Lvl Down,5225,5226,NONE,NONE
Grand Jewel Magic Attack // Healing,5227,5228,NONE,NONE
Ghost Commander Normal Attack // Sacrifice Attack,5237,5238,NONE,NONE
Ghost Commander Minion Normal Attack // Sacrifice Attack,5239,5240,NONE,NONE
Kamuy Howling Multi Attack // Normal Attack,5243,5244,NONE,NONE
Faust - Normal Attack // Summon Magic,5245,5246,NONE,NONE
Faust - Summon Asteroid,5247,5248,NONE,NONE
Faust + Mazo - Thunder God,5249,5250,NONE,NONE
Faust - Crystal Shard Attack,5251,5252,NONE,NONE
Faust - Tornado Attack,5253,5254,NONE,NONE
Faust - Summon Magic 2 (Different Wingly Letter),5255,5256,NONE,NONE
Windigo Normal Attack // Hearth Catch Attack,5257,5258,NONE,NONE
Windigo - Summon Magic?,5259,5260,NONE,NONE
Windigo Shadow Hand Attack,5261,5262,NONE,NONE
Windigo Snow Cannon Attack,5263,5264,NONE,NONE
Polter Helm Command Blocking,5267,5268,NONE,NONE
Polter Armor Magic Cast,5269,5270,NONE,NONE
Polter Sword Normal Attack // Sword Killing Attack,5271,5272,NONE,NONE
Divine Dragon Spirit Melee Attack,5273,5274,NONE,NONE
Bugged? DD Spirit Animation - 54 Objects Expected - 51 have DD,5275,5276,NONE,NONE
Divine Dragon Spirit Cannon,5277,5278,NONE,NONE
Divine Dragon Spirit Ball Attack,5279,5280,NONE,NONE
Divine Dragon Spirit Magic Summon,5281,5282,NONE,NONE
Regole Spirit Normal Attack,5283,5284,NONE,NONE
Regole Spirit Destroying Eyes,5285,5286,NONE,NONE
Regole Spirit Tsunami Attack,5287,5288,NONE,NONE
Feybrand Spirit Normal Attack,5289,5290,NONE,NONE
Feybrand Spirit Poison Attack,5291,5292,NONE,NONE
Feybrand Spirit Power-Up,5293,5294,NONE,NONE
Melbu Frahma with Lloyd Encounter,5295,5296,NONE,NONE
Sphere (violet) - SAF 23 Obj Anim,5299,5300,NONE,NONE
Vector Embiggening // Chewing Attack,5305,5306,NONE,NONE
Selebus Singing Attack (confusion),5311,5312,NONE,NONE
Selebus Healing,5313,5314,NONE,NONE
Selebus Hand of Hell,5315,5316,NONE,NONE
Kubila Magic Attack,5321,5322,NONE,NONE
Kubila DIEEE!!!,5323,5324,NONE,NONE
Kubila Demon Frog Summon,5325,5326,NONE,NONE
Zackwell Normal Attack,5327,5328,NONE,NONE
Zackwell Spirit Attack,5329,5330,NONE,NONE
Zackwell - seems to be a ghost attack,5331,5332,NONE,NONE
Zackwell Skeletal Attack,5333,5334,NONE,NONE
Zackwell Floor Dive,5335,5336,NONE,NONE
Lavitz - Zackwell Spinning Cane,5337,5338,NONE,NONE
Lavitz - Zackwell - Rod Typhoon,5339,5340,NONE,NONE
Lavitz - Zackwell - Gust of Wind Dance,5341,5342,NONE,NONE
Lavitz - Zackwell - Back Idle,5343,5344,NONE,NONE
Lavitz/Zackwell Defeated (little CutScene),5345,5346,NONE,NONE
Last Kraken Normal Attack // Cleone Spawn,5347,5348,NONE,NONE
Last Kraken Ray Attack,5349,5350,NONE,NONE
Last Kraken Cleone Magic Cast,5351,5352,NONE,NONE
Cleone Attack,5353,5354,NONE,NONE
Caterpillar Normal Attack // Yellow Cloud // Transform Pupa,5357,5358,NONE,NONE
Pupa Transform Imago,5359,5360,NONE,NONE
Imago Melee Attack,5361,5362,NONE,NONE
Imago Ray Attack,5363,5364,NONE,NONE
Imago Violet Cloud,5365,5366,NONE,NONE
Imago Special Attack,5367,5368,NONE,NONE
Death Rose Spore Attack,5369,5370,NONE,NONE
Evil Claire Normal Attack,5375,5376,NONE,NONE
Indora Attack,5377,5378,NONE,NONE
