Kongol Golden Dragoon Transformation,4228/0/,4227/,765,4,4129/,True,True,True
0_KongolNormal,,,,,,,,
1_SpiritOrb1,,,,,,,,
2_UnknownLines1,,,,,,,,
3_RockShape1,,,,,,,,
4_ExpandingAxeWeildBlast,,,,,,,,
5_ExpandingAxeWeildOutter1,,,,,,,,
6_ExpandingAxeWeildOutter2,,,,,,,,
7_ExpandingAxeWeildOutter3,,,,,,,,
8_AxeWeildDust1,,,,,,,,
9_RotatingGlow,,,,,,,,
10_FloorPunchImpact,,,,,,,,
11_KongolHandDetailed,,,,,,,,
12_RockShape2,,,,,,,,
13_ExpandingPunchBlast,,,,,,,,
14_ExpandingPunchBlastOutter1,,,,,,,,
15_ExpandingPunchBlastOutter2,,,,,,,,
16_ExpandingPunchBlastOutter3,,,,,,,,
17_PunchDust,,,,,,,,
18_RedMagentaxpansionDonut1,,,,,,,,
19_UnknownLines2,,,,,,,,
20_FumeFromFireEruptionGround,,,,,,,,
21_FireEruptionGround,,,,,,,,
22_ErectingRockDust,,,,,,,,
23_RockShape3,,,,,,,,
24_RockShape4,,,,,,,,
25_RedMagentaxpansionDonut2,,,,,,,,
26_ErectingRock,,,,,,,,
27_ErectingRockBase,,,,,,,,
28_SpiritOrb2,,,,,,,,
29_BigRockShape1,,,,,,,,
30_BigRockShape2,,,,,,,,
31_RockShape5,,,,,,,,
32_RockShape6,,,,,,,,
33_KongolDragoon,,,,,,,,
34_KongolDragoonDust,,,,,,,,
