Haschel Violet Dragoon Transformation,4220/0/,4219/,780,4,NONE,True,True,True
0_HaschelNormal,,,,,,,,
1_ConfluentYellowLines1,,,,,,,,
2_Electricity1,,,,,,,,
3_Starburst1,,,,,,,,
4_RadialGradient1,,,,,,,,
5_Starburst2,,,,,,,,
6_ConfluentYellowLines2,,,,,,,,
7_RotatingGlow,,,,,,,,
8_HaschelRightHand,,,,,,,,
9_RadialGradient2,,,,,,,,
10_RadialGradient3,,,,,,,,
11_ConfluentYellowLines3,,,,,,,,
12_HaschelDragoon1,,,,,,,,
13_ElectricityDoubleRing,,,,,,,,
14_Electricity2,,,,,,,,
15_Electricity3,,,,,,,,
16_Electricity4,,,,,,,,
17_ColoredQuad,,,,,,,,
18_BlueFunnel,,,,,,,,
19_FloorBlueBaseAura,,,,,,,,
20_FloorExpansionAura,,,,,,,,
21_Romboid,,,,,,,,
22_HaschelDragoon2,,,,,,,,
23_Electricity5,,,,,,,,
24_Electricity6,,,,,,,,
25_Dust1,,,,,,,,
26_Dust2,,,,,,,,
27_Dust3,,,,,,,,
28_Dust4,,,,,,,,
29_RadialGradient4,,,,,,,,
30_Starburst3,,,,,,,,
31_RadialGradient5,,,,,,,,
32_Starburst4,,,,,,,,
33_Electricity7,,,,,,,,
34_LensFlare,,,,,,,,
