Meru Blue-Sea Dragoon Transformation,4224/0/,4223/,643,4,4128/,True,True,True
0_MeruNormal1,,,,,,,,
1_SpiritOrb,,,,,,,,
2_ExpandingBlueBackground,,,,,,,,
3_ExpandingWhiteHalo,,,,,,,,
4_ExpandingCrystalForeground,,,,,,,,
5_RotatingGlow1,,,,,,,,
6_RotatingGlow2,,,,,,,,
7_CrystalIgloo,,,,,,,,
8_HammerExpandingExplosion,,,,,,,,
9_HammerExpandingExplosionOutter,,,,,,,,
10_CrystalShardShape1,,,,,,,,
11_CrystalShardShape2,,,,,,,,
12_CrystalShardShape3,,,,,,,,
13_ThickGeyser,,,,,,,,
14_ThinGeyser,,,,,,,,
15_RainCage,,,,,,,,
16_HammerCameraOverlayPassing,,,,,,,,
17_MeruDragoon,,,,,,,,
18_WaterBackgroundPlanes1,,,,,,,,
19_WaterBackgroundPlanes2,,,,,,,,
20_BlueShardShape1,,,,,,,,
21_BlueShardShape2,,,,,,,,
22_BlueBackgroundHorizon,,,,,,,,
