Miranda White-Silver Dragoon Transformation,4268/0/,4267/,602,4,NONE,True,True,True
0_MirandaNormal,,,,,,,,
1_RayCylinderRoof,,,,,,,,
2_SpiritOrb,,,,,,,,
3_RotatingGlow,,,,,,,,
4_ExpandingOrangeDonut,,,,,,,,
5_VioletRayCylinderInner,,,,,,,,
6_RayCylinderFloor,,,,,,,,
7_MirandaGrey,,,,,,,,
8_RayOverlay1,,,,,,,,
9_RayOverlay2,,,,,,,,
10_Feather1,,,,,,,,
11_Feather2,,,,,,,,
12_Feather3,,,,,,,,
13_MirandaDragoon,,,,,,,,
14_RayOverlay3,,,,,,,,
15_LensFlare,,,,,,,,
16_YellowCircleHalo,,,,,,,,
17_PinkieGlow1,,,,,,,,
18_PinkieGlow2,,,,,,,,
