Dart Red-Eyed Dragoon Transformation,4204/0/,4203/,747,4,NONE,True,True,True
0_DartNormal,,,,,,,,
1_SpiritOrb,,,,,,,,
2_RotatingGlow,,,,,,,,
3_WhiteSpiritCircle,,,,,,,,
4_SmallWhiteGlowParticle,,,,,,,,
5_FireBlast1,,,,,,,,
6_YellowishHalo1,,,,,,,,
7_WhiteInnerRing1,,,,,,,,
8_FireSparks,,,,,,,,
9_FireDonut,,,,,,,,
10_YellowishHalo2,,,,,,,,
11_WhiteInnerRing2,,,,,,,,
12_FireSmokeDish1,,,,,,,,
13_FireSmokeDonut,,,,,,,,
14_RedCircle1,,,,,,,,
15_RedCircle2,,,,,,,,
16_RedCircle3,,,,,,,,
17_RedCircle4,,,,,,,,
18_FlameArmor,,,,,,,,
19_FireWing1,,,,,,,,
20_FireWing2,,,,,,,,
21_FireBlast2,,,,,,,,
22_FireBlast3,,,,,,,,
23_FireBlast4,,,,,,,,
24_FireBlast5,,,,,,,,
25_FireAmber1,,,,,,,,
26_DartDragoon,,,,,,,,
27_FireAmber2,,,,,,,,
28_FireSmokeDish2,,,,,,,,
29_RedCircle5,,,,,,,,
30_Starburst,,,,,,,,
31_FireBlast6,,,,,,,,
