Haschel,DRGN0,582,DRGN0,"[584,585,586,587]",None,None,DRGN0/583
Gehrich Dying,DRGN0,588,DRGN0,"[590,591]",None,None,DRGN0/589
Dart,DRGN0,592,DRGN0,"[594,595,596,597,598]",None,None,DRGN0/593
Mappi Death,DRGN0,599,DRGN0,[601],None,None,DRGN0/600
Albert,DRGN0,602,DRGN0,"[604,605,606,607,608]",None,None,DRGN0/603
Shana,DRGN0,609,DRGN0,[611],None,None,DRGN0/610
Meru,DRGN0,612,DRGN0,"[614,615]",None,None,DRGN0/613
Kongol,DRGN0,616,DRGN0,"[618,619,620,621,622,623,624,625]",None,None,DRGN0/617
Face Texture 1,None,None,None,None,None,None,DRGN0/626
Face Texture 2,None,None,None,None,None,None,DRGN0/627
